SYMBOL	RANK.IN.GENE.LIST	RANK.METRIC.SCORE	RUNNING.ES
ENSG00000138449	6	0.501265287399292	0.11567966
ENSG00000099194	9	0.481032133102417	0.22684455
ENSG00000171227	14	0.373306572437286	0.31301376
ENSG00000226549	16	0.359829813241959	0.3961896
ENSG00000197594	33	0.313828408718109	0.46810994
ENSG00000128590	223	0.131381765007973	0.4907216
ENSG00000157326	342	0.104929514229298	0.51013565
ENSG00000151726	443	0.0915835797786713	0.52720344
ENSG00000166598	601	0.0769992023706436	0.5385542
ENSG00000219481	608	0.0766358971595764	0.5560308
ENSG00000211584	780	0.0680742561817169	0.5647418
ENSG00000198830	908	0.0631116405129433	0.57411456
ENSG00000099875	928	0.0623218268156052	0.5877462
ENSG00000173210	1174	0.0548699349164963	0.59036016
ENSG00000044574	1492	0.0484431348741055	0.58852684
ENSG00000197976	1513	0.0479011721909046	0.5987823
ENSG00000117643	1530	0.0474563017487526	0.6090994
ENSG00000121064	1767	0.0431272946298122	0.6093678
ENSG00000167608	1780	0.0429450683295727	0.6188061
ENSG00000144712	1831	0.0419776253402233	0.6264579
ENSG00000112294	1861	0.0413355901837349	0.6348249
ENSG00000168209	2159	0.0375158712267876	0.6312869
ENSG00000131620	2229	0.0367185063660145	0.6369411
ENSG00000066248	2257	0.0363898798823357	0.64424646
ENSG00000175356	2285	0.0359889194369316	0.65145916
ENSG00000176155	2362	0.0352397114038467	0.6564835
ENSG00000119242	2425	0.0345873348414898	0.66193265
ENSG00000151552	2481	0.0338723920285702	0.6675043
ENSG00000215644	2683	0.0316562466323376	0.6665592
ENSG00000179218	2726	0.0310290902853012	0.672008
