SYMBOL	RANK.IN.GENE.LIST	RANK.METRIC.SCORE	RUNNING.ES
ENSG00000035928	20962	-0.0180938392877579	-0.82508045
ENSG00000145244	21010	-0.0183870904147625	-0.8245361
ENSG00000119946	21081	-0.0187581181526184	-0.82488763
ENSG00000170525	21102	-0.0188748128712177	-0.82316715
ENSG00000184292	21171	-0.0193341951817274	-0.82335883
ENSG00000155111	21228	-0.0196664594113827	-0.82301223
ENSG00000115461	21251	-0.0197925418615341	-0.8212504
ENSG00000149591	21351	-0.0204034857451916	-0.8225729
ENSG00000069869	21420	-0.0208475422114134	-0.82256067
ENSG00000122786	21447	-0.0210086833685637	-0.82079947
ENSG00000168542	21468	-0.0211619324982166	-0.8187709
ENSG00000107796	21492	-0.0212884284555912	-0.81684864
ENSG00000148795	21552	-0.0217463299632072	-0.8163452
ENSG00000186407	21672	-0.0225140452384949	-0.81820583
ENSG00000198959	21730	-0.0228294674307108	-0.81747425
ENSG00000181264	21814	-0.0235048998147249	-0.8177209
ENSG00000107518	21860	-0.0237651877105236	-0.81636965
ENSG00000105655	21907	-0.0241011474281549	-0.81501436
ENSG00000005108	21954	-0.0244806967675686	-0.8136079
ENSG00000011465	21978	-0.024675415828824	-0.81122935
ENSG00000153827	22042	-0.0252160001546144	-0.8104229
ENSG00000110723	22199	-0.0266613606363535	-0.8132464
ENSG00000149968	22337	-0.0277573559433222	-0.8151409
ENSG00000108691	22400	-0.0284748170524836	-0.81385434
ENSG00000189060	22423	-0.0286510828882456	-0.810899
ENSG00000113578	22558	-0.0298612825572491	-0.81238663
ENSG00000136153	22622	-0.0305053144693375	-0.81086767
ENSG00000221869	22630	-0.030559103935957	-0.80703837
ENSG00000122641	22827	-0.0327680036425591	-0.81068414
ENSG00000169213	22885	-0.0334568917751312	-0.80852073
ENSG00000020577	22927	-0.0340324006974697	-0.8056218
ENSG00000152952	22971	-0.0345860458910465	-0.8027305
ENSG00000169429	22981	-0.0347172245383263	-0.7984233
ENSG00000101974	23045	-0.0356127694249153	-0.79621613
ENSG00000182836	23054	-0.0358033254742622	-0.79172146
ENSG00000122862	23110	-0.0367156900465488	-0.78903675
ENSG00000196154	23135	-0.0370701625943184	-0.78502935
ENSG00000120217	23140	-0.0371327064931393	-0.78019106
ENSG00000066468	23156	-0.0374005399644375	-0.7757691
ENSG00000137331	23268	-0.039582721889019	-0.7750011
ENSG00000173706	23394	-0.041815958917141	-0.774508
ENSG00000136144	23446	-0.0430565550923347	-0.7708045
ENSG00000075539	23483	-0.0438297465443611	-0.76637995
ENSG00000146376	23490	-0.0439552925527096	-0.7607047
ENSG00000142192	23513	-0.0447956398129463	-0.7555743
ENSG00000100612	23544	-0.0455571264028549	-0.75067025
ENSG00000139372	23562	-0.0459251403808594	-0.745182
ENSG00000155330	23569	-0.0460595302283764	-0.7392233
ENSG00000111799	23694	-0.0502389632165432	-0.73755425
ENSG00000092969	23721	-0.0513797737658024	-0.73170125
ENSG00000205542	23748	-0.052295658737421	-0.7257248
ENSG00000075790	23771	-0.0533781945705414	-0.7194381
ENSG00000233705	23800	-0.054943110793829	-0.7131873
ENSG00000164597	23878	-0.0586186461150646	-0.7084564
ENSG00000087053	23893	-0.0597771033644676	-0.7009785
ENSG00000115419	23924	-0.061758641153574	-0.6938917
ENSG00000072110	23962	-0.0644151419401169	-0.68673486
ENSG00000069849	23968	-0.0647056922316551	-0.67822284
ENSG00000092020	24059	-0.0745947435498238	-0.67187417
ENSG00000123200	24080	-0.0763580724596977	-0.6624092
ENSG00000241878	24108	-0.0807089805603027	-0.6526458
ENSG00000243927	24149	-0.0882140249013901	-0.64240605
ENSG00000102547	24164	-0.0929172039031982	-0.6304633
ENSG00000138772	24180	-0.0956005826592445	-0.6182002
ENSG00000117632	24209	-0.104888074100018	-0.6052204
ENSG00000100906	24257	-0.140257969498634	-0.5882567
ENSG00000143153	24281	-0.162654474377632	-0.5672886
ENSG00000143799	24304	-0.207492515444756	-0.54023844
ENSG00000111907	24325	-0.231790229678154	-0.50983244
ENSG00000111328	24345	-0.273412704467773	-0.47377768
ENSG00000120129	24371	-0.370843708515167	-0.42484304
ENSG00000101335	24372	-0.392278671264648	-0.3719924
ENSG00000227105	24392	-0.48075008392334	-0.30800363
ENSG00000168014	24401	-0.578252017498016	-0.23042631
ENSG00000091137	24412	-0.837945103645325	-0.11794349
ENSG00000138685	24414	-0.876036643981934	4.1430434e-05
