NAME	TITLE	SCORE	
ENSG00000166823		0.76829755	
ENSG00000184979		0.6052978	
ENSG00000166664		0.5561596	
ENSG00000077063		0.5195556	
ENSG00000166436		0.5188724	
ENSG00000251022		0.50455457	
ENSG00000138449		0.5012653	
ENSG00000175265		0.49092823	
ENSG00000085552		0.4899871	
ENSG00000099194		0.48103213	
ENSG00000223705		0.47247973	
ENSG00000247377		0.39055496	
ENSG00000156170		0.3889352	
ENSG00000160336		0.37639892	
ENSG00000171227		0.37330657	
ENSG00000214491		0.3700845	
ENSG00000226549		0.3598298	
ENSG00000188931		0.35750598	
ENSG00000213096		0.35593188	
ENSG00000167232		0.35414988	
ENSG00000198040		0.35144648	
ENSG00000188811		0.34499025	
ENSG00000113494		0.3440109	
ENSG00000177570		0.34340852	
ENSG00000164306		0.33146712	
ENSG00000160050		0.3283975	
ENSG00000159399		0.3253717	
ENSG00000100105		0.32493132	
ENSG00000113971		0.32365033	
ENSG00000103540		0.32243854	
ENSG00000204681		0.321152	
ENSG00000085831		0.3209152	
ENSG00000196705		0.31868935	
ENSG00000197594		0.3138284	
ENSG00000186275		0.31218624	
ENSG00000185946		0.3070019	
ENSG00000112796		0.30501118	
ENSG00000169359		0.30364814	
ENSG00000215817		0.30100855	
ENSG00000166526		0.30085954	
ENSG00000205084		0.3003381	
ENSG00000109270		0.2930387	
ENSG00000092140		0.28735754	
ENSG00000147894		0.2785955	
ENSG00000142303		0.273525	
ENSG00000185513		0.27221164	
ENSG00000108465		0.27112803	
ENSG00000105793		0.26819104	
ENSG00000197496		0.26385504	
ENSG00000213881		0.26344138	
ENSG00000156127		0.25469923	
ENSG00000184164		0.25232315	
ENSG00000081386		0.24978174	
ENSG00000082438		0.24857031	
ENSG00000104290		0.24210955	
ENSG00000139263		0.24067308	
ENSG00000048471		0.23922247	
ENSG00000125534		0.23880537	
ENSG00000218418		0.23785928	
ENSG00000131375		0.23782258	
ENSG00000213240		0.2342665	
ENSG00000132424		0.23377305	
ENSG00000135535		0.23075138	
ENSG00000229419		0.22766864	
ENSG00000111276		0.22749609	
ENSG00000119523		0.22610846	
ENSG00000144591		0.22580542	
ENSG00000234518		0.2240765	
ENSG00000256061		0.22199202	
ENSG00000157259		0.22145885	
ENSG00000196670		0.21837032	
ENSG00000114331		0.21813287	
ENSG00000124783		0.21651313	
ENSG00000103160		0.21638271	
ENSG00000179387		0.21594599	
ENSG00000117616		0.21482697	
ENSG00000140660		0.21368247	
ENSG00000164244		0.21172847	
ENSG00000157741		0.21126094	
ENSG00000088280		0.20892896	
ENSG00000215105		0.20621054	
ENSG00000117155		0.20495664	
ENSG00000099290		0.20465092	
ENSG00000142949		0.20439689	
ENSG00000141084		0.20430042	
ENSG00000112996		0.20345855	
ENSG00000130175		0.20103975	
ENSG00000185127		0.2004996	
ENSG00000164983		0.19997105	
ENSG00000055332		0.1971929	
ENSG00000170677		0.19607419	
ENSG00000112144		0.19541717	
ENSG00000089177		0.1941194	
ENSG00000131381		0.19254184	
ENSG00000122482		0.19239064	
ENSG00000011114		0.18973918	
ENSG00000173209		0.18909995	
ENSG00000196865		0.18850362	
ENSG00000117625		0.18841885	
ENSG00000119777		0.18702188	
ENSG00000101596		0.18652198	
ENSG00000071189		0.18632926	
ENSG00000106692		0.18558593	
ENSG00000234664		0.18471901	
ENSG00000119906		0.18296035	
ENSG00000141219		0.18183374	
ENSG00000198162		0.18119216	
ENSG00000140025		0.18115921	
ENSG00000167766		0.18108562	
ENSG00000144320		0.1807487	
ENSG00000127022		0.18066372	
ENSG00000157869		0.18045165	
ENSG00000234322		0.18013789	
ENSG00000119446		0.18010584	
ENSG00000137992		0.179379	
ENSG00000122126		0.17923723	
ENSG00000164975		0.17891705	
ENSG00000141569		0.17771272	
ENSG00000163463		0.17769414	
ENSG00000170088		0.17687766	
ENSG00000138463		0.17633142	
ENSG00000086598		0.17573145	
ENSG00000136444		0.17539419	
ENSG00000163703		0.17522466	
ENSG00000145476		0.17515482	
ENSG00000185630		0.17492956	
ENSG00000169914		0.17398953	
ENSG00000121089		0.17365587	
ENSG00000113391		0.17328884	
ENSG00000139182		0.17274551	
ENSG00000137414		0.17242576	
ENSG00000134108		0.1720014	
ENSG00000146414		0.1712444	
ENSG00000111679		0.17042197	
ENSG00000136051		0.17032339	
ENSG00000118961		0.16927835	
ENSG00000159164		0.16838731	
ENSG00000155545		0.16757946	
ENSG00000005955		0.16748132	
ENSG00000170500		0.16726728	
ENSG00000014123		0.16568474	
ENSG00000137145		0.16551985	
ENSG00000115317		0.16468503	
ENSG00000147649		0.16312908	
ENSG00000116729		0.1626721	
ENSG00000138398		0.16248292	
ENSG00000157916		0.16006339	
ENSG00000146063		0.15946868	
ENSG00000120805		0.15835983	
ENSG00000152939		0.15782839	
ENSG00000114857		0.1577886	
ENSG00000126001		0.1568635	
ENSG00000254004		0.15683775	
ENSG00000182923		0.15632766	
ENSG00000156931		0.15622227	
ENSG00000196922		0.156137	
ENSG00000110921		0.15577565	
ENSG00000146729		0.15548284	
ENSG00000072210		0.15423186	
ENSG00000100968		0.15386064	
ENSG00000142065		0.15276437	
ENSG00000138709		0.15271294	
ENSG00000101558		0.1525337	
ENSG00000130695		0.1524134	
ENSG00000177034		0.15185648	
ENSG00000132405		0.15184362	
ENSG00000117262		0.15162627	
ENSG00000111911		0.15136008	
ENSG00000175344		0.149928	
ENSG00000188171		0.14978683	
ENSG00000128872		0.148738	
ENSG00000143669		0.14871424	
ENSG00000113552		0.14854293	
ENSG00000146247		0.14821117	
ENSG00000171161		0.1479123	
ENSG00000118579		0.14771968	
ENSG00000171928		0.14730434	
ENSG00000065923		0.1471097	
ENSG00000163728		0.1467713	
ENSG00000145495		0.14648195	
ENSG00000111961		0.14571221	
ENSG00000150907		0.14558463	
ENSG00000137161		0.14558439	
ENSG00000102125		0.14521594	
ENSG00000168538		0.14441396	
ENSG00000001631		0.14432627	
ENSG00000132716		0.14381634	
ENSG00000124098		0.14320555	
ENSG00000239306		0.1431948	
ENSG00000157500		0.14261979	
ENSG00000180008		0.14248107	
ENSG00000134698		0.14130782	
ENSG00000184100		0.14117989	
ENSG00000101346		0.14113203	
ENSG00000256210		0.14111108	
ENSG00000115042		0.14079647	
ENSG00000115904		0.14066933	
ENSG00000144711		0.14054237	
ENSG00000174579		0.1403664	
ENSG00000101966		0.14023215	
ENSG00000186376		0.1401455	
ENSG00000118246		0.1392938	
ENSG00000090686		0.13873552	
ENSG00000134759		0.1374854	
ENSG00000158711		0.13743863	
ENSG00000152409		0.13738121	
ENSG00000133065		0.13733636	
ENSG00000232699		0.13699526	
ENSG00000113441		0.13657773	
ENSG00000115944		0.13636589	
ENSG00000060237		0.13515939	
ENSG00000206527		0.1350697	
ENSG00000106460		0.13479039	
ENSG00000175348		0.1340076	
ENSG00000141458		0.13397475	
ENSG00000138764		0.13366179	
ENSG00000184702		0.13336669	
ENSG00000104408		0.13256663	
ENSG00000006715		0.13230062	
ENSG00000113163		0.13201605	
ENSG00000112715		0.13193826	
ENSG00000063587		0.13169429	
ENSG00000046647		0.13166322	
ENSG00000128590		0.13138177	
ENSG00000133872		0.1312977	
ENSG00000065361		0.13064504	
ENSG00000198860		0.1304399	
ENSG00000146476		0.13030225	
ENSG00000083844		0.12994663	
ENSG00000174839		0.12981299	
ENSG00000150712		0.12970094	
ENSG00000084733		0.12958074	
ENSG00000183723		0.12927738	
ENSG00000138760		0.12917918	
ENSG00000123268		0.12845282	
ENSG00000152332		0.12844867	
ENSG00000166839		0.12836336	
ENSG00000078246		0.12831925	
ENSG00000102401		0.12827097	
ENSG00000225733		0.12792568	
ENSG00000108591		0.12752543	
ENSG00000101126		0.12729082	
ENSG00000100246		0.12724063	
ENSG00000124222		0.12723331	
ENSG00000134852		0.1269772	
ENSG00000106638		0.12681592	
ENSG00000214485		0.1265289	
ENSG00000173230		0.1264047	
ENSG00000047932		0.12608391	
ENSG00000182670		0.12545568	
ENSG00000140948		0.12536512	
ENSG00000133812		0.12495639	
ENSG00000122741		0.12487866	
ENSG00000068305		0.12486839	
ENSG00000196236		0.124520935	
ENSG00000130741		0.1243991	
ENSG00000163820		0.12390251	
ENSG00000145391		0.123742	
ENSG00000169919		0.12364416	
ENSG00000082458		0.122617744	
ENSG00000138413		0.12211419	
ENSG00000116984		0.12209207	
ENSG00000188647		0.12182696	
ENSG00000205581		0.121742286	
ENSG00000153006		0.12153864	
