"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CGA",8.9287025547087,3.38354808568834,0.726344671077018,4.65832299791123,3.18795743403005e-06,0.0149315956316383
"CBFA2T3",9.85386361380318,2.68985885978496,0.674675329312665,3.9868937589956,6.69439837416383e-05,0.0349444271619569
"HLA-DRB5",35.3421162989496,1.79426777613561,0.445191908401453,4.03032432143314,5.56999459830884e-05,0.0323733535238417
"THAP9-AS1",82.7137860446488,0.649287517582602,0.167046779774643,3.88686042591502,0.000101549103338219,0.0432391466145801
"CFL1",1419.03914445879,-0.200833246524831,0.0515481179055958,-3.89603451463801,9.77804607355089e-05,0.0426027193460409
"EEF1DP1",270.154828394622,-0.358626591752108,0.0919717037325671,-3.89931443256627,9.64654359195892e-05,0.0426027193460409
"PARP1P1",253.070747763055,-0.573336836009485,0.131253918023909,-4.36815025898921,1.25303276318484e-05,0.0180581298602062
"ACTBP2",122.656736846865,-0.609449266465738,0.139420835278101,-4.37129260666154,1.23513136100951e-05,0.0180581298602062
"PPP1R1A",345.593059338755,-0.842279808086578,0.217270428246493,-3.87664264706567,0.000105907729271209,0.0440355998351761
"CYP17A1",97.8894878377083,-2.64286801440914,0.596937184336334,-4.4273804409545,9.53844113429659e-06,0.0178702694651047
"DLG2",439.775907496618,-3.82866248924424,0.970676726360701,-3.94432295044181,8.00257519550599e-05,0.0374820615719512
"HSPA2",1507.73067933609,-3.98199967878542,0.942207372679755,-4.22624551053991,2.37622730103651e-05,0.0249203845370131
"DPP4",1353.35945460832,-3.98521143199125,0.978851049451324,-4.07131548178355,4.67483850643609e-05,0.0323733535238417
"SYP",421.802789091647,-4.06164786162069,0.993889012217275,-4.08662115356274,4.37700967097606e-05,0.0323733535238417
"MAOB",178.945930308247,-4.11141553331219,1.03472939347192,-3.97342103090046,7.08476541015878e-05,0.0349444271619569
"MSS51",828.900242197453,-4.14865604067022,1.01991777116193,-4.06763776254621,4.74921319527529e-05,0.0323733535238417
"UNC13A",515.286255795199,-4.16509969615463,1.03232597303064,-4.03467490401989,5.46779483633983e-05,0.0323733535238417
"CD24P4",303.369005085283,-4.19404562478354,1.09349818715103,-3.83543902867419,0.000125340198479942,0.0489218462192024
"RGS4",592.234472405023,-4.5004684829367,1.06460181440445,-4.22737254628323,2.36436021517894e-05,0.0249203845370131
"LINC00649",199.928876161925,-4.54025298421333,1.10646039307874,-4.10340307941798,4.07117046379716e-05,0.0323733535238417
"PCDHA10",141.898399210092,-4.55511455339772,1.15216668611162,-3.95352044830468,7.7009679276715e-05,0.0369942651602373
"INA",189.809947197216,-4.55732678690764,1.17910679546598,-3.86506701889255,0.000111058700555145,0.0442698884021412
"TMEM145",181.375869475357,-4.70851288986529,1.10383602749199,-4.26559087817003,1.99373837227892e-05,0.0249203845370131
"GFRA1",1183.23044788544,-4.71402739027344,1.10589097327555,-4.26265111497467,2.02015795210361e-05,0.0249203845370131
"CHGB",1858.61851500747,-4.74178644687606,1.08445436218563,-4.37250898905451,1.22826758219367e-05,0.0180581298602062
"GDAP1L1",56.7481557960612,-4.77214930318929,1.18464598248412,-4.02833367415167,5.61735802748624e-05,0.0323733535238417
"FREM1",93.1460134021042,-5.11496338382974,1.2848741727022,-3.98090606263221,6.8653078159527e-05,0.0349444271619569
"SLC12A5",57.4610794090502,-5.15546181825428,1.33160798438974,-3.87160626752847,0.000108120501330029,0.0440355998351761
"SHISAL1",806.334628521757,-5.26194390848387,1.27949897276463,-4.11250342555125,3.91391661371462e-05,0.0323733535238417
"PXMP4",259.676420111206,-5.51048722203469,1.15532215987505,-4.76965422582276,1.84542410222996e-06,0.0149315956316383
"SCG3",275.700472862229,-5.51068364281122,1.37072396188811,-4.02027234952579,5.81308991043459e-05,0.0323733535238417
"CHRNB2",171.414238773843,-5.54884112135584,1.37829944217021,-4.02586038387919,5.67673652159365e-05,0.0323733535238417
"WNT9B",516.611035872195,-5.57141469873321,1.19329712621124,-4.6689249277107,3.02779985687244e-06,0.0149315956316383
"OGN",253.17138416096,-5.62424442912181,1.37305555273722,-4.09615213157964,4.20073935679813e-05,0.0323733535238417
"PTPRN",427.300887671683,-5.62433680611065,1.20073649012567,-4.68407252745521,2.8123042271917e-06,0.0149315956316383
"ENSG00000250533",121.397230504445,-5.64526633019753,1.24226345388914,-4.54433905507238,5.51078942506486e-06,0.0150907417072996
